State Name,State Abbr,#schooldistricts,#operationalcharterschools,#operationalpublicschools,#totalnumberoperationalschools,#totalnumberdistrictsenrollment,#TotalStudentsAllGrades,AIAN,API,Hispanic,Black,White,HawaiianNatPacificIsl,TwoORMore,Pupil/Teacher Ratio,FTEteachers,#TotalNumberOperationalSchoolDistricts
ALABAMA,AL ,177,2,1529,1528,139,739716,6918,10887,62089,240190,401066,881,17685,17.56,42113.64,177
ALASKA,AK ,54,28,510,507,54,130963,29839,7599,8750,3572,62159,4003,15041,17.1,7656.78,54
ARIZONA,AZ ,718,559,2435,2345,663,1141511,51012,33646,520742,62570,431056,4425,37750,23.53,48510.41,705
ARKANSAS,AR ,294,85,1080,1079,264,495291,3086,8136,65392,100026,300475,4304,13872,13.03,38019.16,294
CALIFORNIA,CA ,2174,1358,10437,10434,1986,6272734,31358,723605,3374921,334652,1417055,28085,276602,23.08,271805.2,2170
COLORADO,CO ,270,255,1915,1915,185,911536,6503,29054,305948,41135,486634,2436,39826,17.15,53146.65,270
CONNECTICUT,CT ,204,23,1023,1022,202,526634,1347,27299,135698,66908,276084,553,18745,12.3,42827.56,204
DELAWARE,DE ,47,23,227,225,42,138405,597,5585,24475,41709,60268,170,5601,14.38,9623.64,46
DISTRICT OF COLUMBIA,DC ,68,114,228,228,61,93741,147,1357,14491,59667,10534,86,2211,12.82,7312.33,68
FLORIDA,FL ,76,658,4234,4181,76,2846444,8126,78934,964119,624316,1063754,4839,102356,17.31,164398.7,76
GEORGIA,GA ,232,86,2309,2309,214,1767202,3396,74722,283847,646675,689552,1776,67234,15.08,117159.3,232
HAWAII,HI ,1,36,294,292,1,181278,403,50242,27575,2897,21720,50431,28010,14.94,12132.1,1
IDAHO,ID ,173,63,759,746,165,310522,3546,3746,56853,3447,233018,1009,8902,18.54,16745.31,168
ILLINOIS,IL ,1056,142,4345,4345,957,1982327,5067,102049,522684,331025,943938,2066,75498,14.97,132423.1,1056
INDIANA,IN ,432,103,1919,1916,405,1055706,2001,26774,129900,133760,709565,841,52865,17.26,61154.81,431
IOWA,IA ,339,2,1318,1316,330,514833,1933,13116,56833,32426,387456,1555,21514,14.45,35618.46,339
KANSAS,KS ,311,9,1314,1314,290,497733,4036,14080,100203,34370,317314,1010,26720,13.55,36723.89,311
KENTUCKY,KY ,186,†,1536,1534,176,677821,833,12536,47867,71332,516511,901,27841,16.21,41826.9,186
LOUISIANA,LA ,204,158,1384,1383,199,711783,4522,11303,52815,307865,315476,589,19213,18.29,38913.16,204
MAINE,ME ,276,12,599,599,228,180461,1499,2625,4221,6795,160280,192,4849,12,15033.9,276
MARYLAND,MD ,25,49,1418,1418,25,896827,2379,59611,162524,301370,327508,1304,42131,14.78,60698.9,25
MASSACHUSETTS,MA ,432,82,1853,1852,406,962297,2177,67257,199357,87989,568129,818,36338,13.03,73868.49,432
MICHIGAN,MI ,904,377,3756,3730,890,1504194,9294,51504,121553,268527,989047,1253,63016,17.69,85015.36,895
MINNESOTA,MN ,574,233,2555,2540,529,889304,14839,60989,84784,99604,584296,771,44021,15.41,57698.44,564
MISSISSIPPI,MS ,155,5,1055,1054,154,471298,1097,5168,18774,226758,207453,305,11743,14.75,31962.71,155
MISSOURI,MO ,564,70,2452,2427,558,913441,3398,18861,60995,143659,644905,2687,38936,13.34,68498.46,564
MONTANA,MT ,488,†,826,823,403,148844,16533,1093,7023,1214,116825,322,5834,14.07,10575.24,487
NEBRASKA,NE ,279,†,1081,1081,250,326392,4353,9237,62544,21678,215347,479,12754,13.65,23911.6,279
NEVADA,NV ,21,82,745,722,21,498614,4226,26972,209145,55627,156987,7111,32572,21.45,23240,21
NEW HAMPSHIRE,NH ,308,36,494,494,194,178515,447,5859,10290,3713,151723,172,6311,12.19,14643.5,308
NEW JERSEY,NJ ,688,88,2573,2573,654,1400069,1928,142147,409096,215879,598523,2802,29694,12.05,116188.6,688
NEW MEXICO,NM ,147,97,883,882,146,333537,33152,3734,206408,6274,76597,441,6931,15.78,21139.21,146
NEW YORK,NY ,1062,292,4811,4796,1017,2700833,19529,255695,740083,457384,1151355,6722,70065,12.73,212156.9,1057
NORTH CAROLINA,NC ,346,185,2684,2657,308,1552497,18105,53792,279437,390185,739120,2170,69688,15.49,100220.3,330
